Name,Link,MRP,DiscountedPrice,DiscountPercent
Moong Dal/Hesaru Bele,https://www.bigbasket.com/pd/40044731/bb-popular-moong-dal-2-kg-pouch/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,380,295,22
"Almond/Badam - Californian, Giri",https://www.bigbasket.com/pd/10000549/bb-popular-almondbadam-californian-giri-500-g-pouch/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,600,334,44
Bansi Sooji/Kesari Rava,https://www.bigbasket.com/pd/40018904/bb-royal-bansi-sooji-1-kg-pouch/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,75,55,27
"Rice/Akki - Raw, Sona Masoori",https://www.bigbasket.com/pd/20001215/bb-popular-rice-raw-sona-masoori-25-kg-bag/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,1625,1328,18
Chana Dal/Kadale Bele,https://www.bigbasket.com/pd/40042838/bb-royal-channa-dal-2-kg-pouch/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,240,189,21
Maida,https://www.bigbasket.com/pd/40044729/bb-royal-maida-2-kg-pouch/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,130,89,32
Organic - Brown Sugar/Sakkare,https://www.bigbasket.com/pd/40075302/bb-royal-organic-brown-sugar-1-kg/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,119,78,34
Fenugreek/Methi,https://www.bigbasket.com/pd/40085023/bb-popular-fenugreekmethi-500-g/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,150,62.50,58
Sugar/Sakkare - White Label,https://www.bigbasket.com/pd/40004538/parrys-sugar-white-label-1-kg-pouch/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,60,45,25
Moong Dal/Hesaru Bele,https://www.bigbasket.com/pd/30002287/tata-sampann-unpolished-moong-dal-1-kg-pouch/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,175,146,17
Idli/Idly Rice,https://www.bigbasket.com/pd/60000022/bb-royal-idli-rice-10-kg-bag/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,650,489,25
Idli/Idly Rice,https://www.bigbasket.com/pd/60000022/bb-royal-idli-rice-10-kg-bag/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,650,489,25
Atta with Multigrains - High Fibre,https://www.bigbasket.com/pd/40236230/aashirvaad-atta-with-multigrains-high-fibre-soft-rotis-10-kg/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,720,612,15
"Atta Sharbati MP Whole Wheat - Rotis Stay Softer For Longer, Fortified",https://www.bigbasket.com/pd/40189429/bb-royal-superior-mp-sharbati-atta-fortified-10-kg-pouch/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,650,474.50,27
